Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
"18062,""<!-- react-text: 193 -->Marseille T3 centre ville, plages, stade<!-- /react-text -->"",43.26402666871,5.39190739855894,95,MARSEILLE,13,Appartement,3,Logement entier,4,15,2,4,,X,X,X,,,X,,X,,X,X,X,,,X,,,X,X,,X,,,,,,,X,,,,,,,,,10,10,0,0,0,2,Cat(s),,True"
"26734,""T2 40m2   design &amp, cosy"",43.2845923743365,5.38205593271783,109,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,X,X,X,,,X,,,,,,,,,,,,,,,,X,,X,,X,,,X,X,,28,41,0,0,300,2,,,False"
29528,<!-- react-text: 236 -->Studio in the heart of the old town<!-- /react-text -->,43.2982630659766,5.3802497236243,55,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,,X,,,X,,X,,,,,X,,,X,,,,,X,,,,,,,,X,X,X,,,,,,,,12,12,0,20,100,2,,,True
51481,<!-- react-text: 236 -->Au Coeur de la Ville: le Vieux Port<!-- /react-text -->,43.2966586143526,5.37385190476786,70,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,,,X,,X,,,X,,,X,X,,,,X,,X,,,,,,X,X,X,X,X,,,,,,0,0,5,20,0,1,,,True
59611,Private Bedroom in Duplex T7_130m2,43.2355032335806,5.40655965109294,56,MARSEILLE,13,Appartement,2,Chambre privee,4,15,1,0,,X,X,X,X,,X,,X,X,X,X,X,X,,X,,,X,X,,X,,,,,,X,,X,,X,,,,,,7,27,20,0,0,2,,,False
"69576,""<!-- react-text: 236 -->Studio, quartier Panier-Vieux Port<!-- /react-text -->"",43.2983317371199,5.36890464407957,37,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,1,,X,X,,X,,X,,X,,,X,,,,X,,,,,,X,,,,,,,X,,,,,,,,,10,10,0,30,200,3,,,True"
72715,<!-- react-text: 193 -->AGACHADOU studio meuble 25m2<!-- /react-text -->,43.2903099090799,5.36139646351644,50,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,1,,X,X,X,X,,X,,X,,,X,X,,,X,X,,,X,,X,,,,,X,X,X,X,X,X,,,,,,28,28,0,20,500,1,,,True
74226,<!-- react-text: 236 -->superbe studio prox port et ville<!-- /react-text -->,43.2920319638352,5.36811118751595,60,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,X,,,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,0,0,0,25,0,2,Some pet(s),,True
"81215,""<!-- react-text: 236 -->Chambre d&#x27,hote BnB centre-ville<!-- /react-text -->"",43.2986709318212,5.3846778963512,47,MARSEILLE,13,Bed & Breakfast,2,Chambre privee,2,1,1,1,Vrai lit,X,,,X,,X,,,,,X,,X,,X,,,,X,X,,,,,,X,X,X,X,X,X,,,,X,,12,12,9,20,550,2,Cat(s),,True"
84641,<!-- react-text: 193 -->LES 2 TERRASSES DU COURS JULIEN<!-- /react-text -->,43.2948609880168,5.3854036340379,90,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,X,,X,,X,,,X,X,,,X,,,,,,X,,,,,,X,X,X,,,,,,,,10,10,5,45,150,4,,,True
