DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,Ligne,LIB_IRIS,area,id,@id,attraction,leisure,type,name,source,building,access,barrier,wheelchair,operator,fixme,surface,architect,website,max_age,min_age,@relations,COUNT,NUMPOINTS,sum
13201,Marseille 1er Arrondissement,0201,132010201,Gambetta,H,Noailles,Gambetta,124938,,,,,,,,,,,,,,,,,,,,0,0,0
13201,Marseille 1er Arrondissement,0203,132010203,Vierge Doree,H,Saint-Charles,Vierge Doree,74486,,,,,,,,,,,,,,,,,,,,0,0,0
13201,Marseille 1er Arrondissement,0104,132010104,Bernard du Bois,H,Saint-Charles,Bernard du Bois,133104,,,,,,,,,,,,,,,,,,,,0,0,0
13201,Marseille 1er Arrondissement,0505,132010505,Saint-Charles-Gare,A,Saint-Charles,Saint-Charles-Gare,181569,,,,,,,,,,,,,,,,,,,,0,0,0
13201,Marseille 1er Arrondissement,0102,132010102,Thubaneau,H,Noailles,Thubaneau,61002,way/419236965,way/419236965,,playground,,,,,,,,,,,,,,,,1,0,1
13201,Marseille 1er Arrondissement,0302,132010302,Gare de l'Est,H,Noailles,Gare de l'Est,96331,,,,,,,,,,,,,,,,,,,,0,0,0
13201,Marseille 1er Arrondissement,0601,132010601,Gymnase,H,Noailles,Gymnase,189369,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0404,132020404,Mazenod-Republique,H,Joliette,Mazenod-Republique,58068,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0402,132020402,Albrand-Ponteves,H,Désirée Clary,Albrand-Ponteves,37962,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0401,132020401,l'Eveche-Les Docks,H,Joliette,l'Eveche-Les Docks,825879,way/212389975,way/212389975,,playground,,,,,,,,,,,,,,,,2,0,2
13202,Marseille 2e Arrondissement,0203,132020203,Dames,H,Jules Guesde,Dames,92573,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0403,132020403,Forbin,H,Joliette,Forbin,89651,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0205,132020205,Charite Republique,H,Joliette,Charite Republique,88729,,,,,,,,,,,,,,,,,,,,0,0,0
13202,Marseille 2e Arrondissement,0202,132020202,Les Carmes,H,Jules Guesde,Les Carmes,102102,way/220597756,way/220597756,,playground,,,Bing + balade,,,,limited,,,,,,,,,1,0,1
13202,Marseille 2e Arrondissement,0201,132020201,Montolieu,H,Jules Guesde,Montolieu,76547,,,,,,,,,,,,,,,,,,,,0,0,0
13203,Marseille 3e Arrondissement,0203,132030203,Camille Pelletan,H,Jules Guesde,Camille Pelletan,168934,way/568304327,way/568304327,,playground,,,,,,,,,,,,,,,,1,0,1
13203,Marseille 3e Arrondissement,0201,132030201,General Leclerc,A,Saint-Charles,General Leclerc,64409,way/422210033,way/422210033,,playground,,,,,,,,,tracé approximatif,,,,,,,1,0,1
13203,Marseille 3e Arrondissement,0202,132030202,Les Facultes,H,Saint-Charles,Les Facultes,217749,,,,,,,,,,,,,,,,,,,,0,0,0
13203,Marseille 3e Arrondissement,0403,132030403,Fonscolombes,H,National,Fonscolombes,123915,,,,,,,,,,,,,,,,,,,,0,1,1
13203,Marseille 3e Arrondissement,0305,132030305,Bellevue Caravelle,H,National,Bellevue Caravelle,17378,,,,,,,,,,,,,,,,,,,,0,0,0
13203,Marseille 3e Arrondissement,0402,132030402,Peyssonnel,H,Désirée Clary,Peyssonnel,219917,,,,,,,,,,,,,,,,,,,,0,0,0
13203,Marseille 3e Arrondissement,0304,132030304,Briancon,A,National,Briancon,313327,,,,,,,,,,,,,,,,,,,,0,0,0
13203,Marseille 3e Arrondissement,0401,132030401,Potier,H,Désirée Clary,Potier,180143,way/568695320,way/568695320,,playground,,,,,,,,,,,,,,,,2,0,2
13203,Marseille 3e Arrondissement,0204,132030204,Le Racati,H,Jules Guesde,Le Racati,187709,,,,,,,,,,,,,,,,,,,,0,0,0
