Ligne,CODE_IRIS,LIB_IRIS
Bougainville,132150501,Zoccolat
Bougainville,132140302,Casanova
National,132030304,Briancon
National,132030305,Bellevue Caravelle
National,132030306,Bellevue-Pyat
National,132030403,Fonscolombes
Désirée Clary,132030401,Potier
Désirée Clary,132030402,Peyssonnel
Désirée Clary,132020402,Albrand-Ponteves
Joliette,132020401,l'Eveche-Les Docks
Joliette,132020404,Mazenod-Republique
Joliette,132020403,Forbin
Joliette,132020205,Charite Republique
Jules Guesde,132020203,Dames
Jules Guesde,132020201,Montolieu
Jules Guesde,132020202,Les Carmes
Jules Guesde,132030204,Le Racati
Jules Guesde,132030203,Camille Pelletan
Saint-Charles,132010104,Bernard du Bois
Saint-Charles,132010505,Saint-Charles-Gare
Saint-Charles,132030201,General Leclerc
Saint-Charles,132030202,Les Facultes
Saint-Charles,132010203,Vierge Doree
Noailles,132010302,Gare de l'Est
Noailles,132010601,Gymnase
Noailles,132010201,Gambetta
Noailles,132010102,Thubaneau
Notre-Dame-du-Mont - Cours Julien,132060301,des Bergers
Notre-Dame-du-Mont - Cours Julien,132060302,Tilsit-Blanqui
Notre-Dame-du-Mont - Cours Julien,132060303,Julien
Castellane,132060102,Fiolle-Castellane
Castellane,132060103,Castellane-Italie
Castellane,132060203,Gouffe
Castellane,132060204,Marengo-Lodi
Castellane,132060101,Escat-Saint Adrien
Castellane,132060202,Le Mediterranee
Castellane,132060201,Delphes-Toulon
Périer,132080401,Farges-Perier
Périer,132080402,Mermoz Prado
Périer,132080403,Lord Duveen
Périer,132080701,Turcat Mery
Périer,132080704,Louvain
Rond-point du Prado,132080801,Parc Chanot
Rond-point du Prado,132080703,Rabatau
Rond-point du Prado,132080802,Grand Saint-Giniez
Rond-point du Prado,132080803,Orado-Carmagnole
Rond-point du Prado,132080805,Mermoz-Grand Pavois
Sainte-Marguerite Dromel,132090801,Metro Dromel
Sainte-Marguerite Dromel,132090802,La Pauline
Sainte-Marguerite Dromel,132090803,Romain Rolland-Claudel
